vx0,vy0,vx1,vy1
-0.04586287840736029,-0.4507219705574675,0.0458628784073604,0.4507219705574675
-0.07146852109059783,-0.4523084261203757,0.07146852109059794,0.4523084261203757
-0.09698215302258822,-0.4539121555523648,0.09698215302258834,0.4539121555523648
-0.1223805145279549,-0.45553150241847445,0.12238051452795501,0.45553150241847445
-0.14764071751199037,-0.45716476928186434,0.14764071751199048,0.45716476928186434
-0.1727403163679116,-0.458810223806777,0.1727403163679117,0.458810223806777
-0.19765737586698426,-0.4604661050012627,0.19765737586698437,0.4604661050012627
-0.22237053560617395,-0.4621306295529368,0.22237053560617406,0.4621306295529368
-0.24685907062776724,-0.4638019982108592,0.24685907062776735,0.4638019982108592
-0.27110294786890604,-0.4654784021670248,0.27110294786890615,0.4654784021670248
-0.2950828781454496,-0.4671580293919096,0.2950828781454497,0.4671580293919096
