step ,Epot               ,Ekin               ,Etot
  46 , 9.366795407031107 ,11.05183911772722  ,20.418634524758325
  47 , 9.694560378027905 ,11.354965455645553 ,21.049525833673457
  48 ,10.052811303845566 ,11.686662939237817 ,21.739474243083382
  49 ,10.437714633586959 ,12.043499466017302 ,22.48121409960426
  50 ,10.845379743456633 ,12.421979717305756 ,23.26735946076239
  51 ,11.271914004556557 ,12.818593504244118 ,24.090507508800677
  52 ,11.713473552905405 ,13.22986069853425  ,24.943334251439655
  53 ,12.166309004734135 ,13.652372073138675 ,25.81868107787281
  54 ,12.626805590787328 ,14.082825565470928 ,26.709631156258254
  55 ,13.091517402900003 ,14.518057656084    ,27.609575058984003
  56 ,13.557195646760816 ,14.955069723013247 ,28.512265369774063
  57 ,14.020810971164472 ,15.391049381083535 ,29.411860352248006
  58 ,14.479570093085885 ,15.82338694372207  ,30.302957036807953
  59 ,14.930927058430656 ,16.24968725075714  ,31.180614309187796
  60 ,15.372589570771067 ,16.667777189246888 ,32.04036676001795
  61 ,15.802520886401192 ,17.075709296485932 ,32.87823018288712
  62 ,16.2189378160643   ,17.471761876596855 ,33.690699692661155
  63 ,16.62030539460645  ,17.854436086578765 ,34.47474148118522
  64 ,17.00532878263518  ,18.22245045661419  ,35.22777923924937
  65 ,17.372942951999683 ,18.574733305119544 ,35.94767625711923
  66 ,17.722300682351126 ,18.910413493663054 ,36.632714176014176
  67 ,18.052759361705217 ,19.22880994250453  ,37.28156930420975
  68 ,18.363867042015062 ,19.52942029597131  ,37.89328733798637
  69 ,18.655348153192932 ,19.811909089817398 ,38.46725724301033
  70 ,18.927089227467338 ,20.07609573158425  ,39.00318495905159
  71 ,19.179124931903708 ,20.321942561118185 ,39.50106749302189
  72 ,19.411624651695654 ,20.54954321301955  ,39.96116786471521
  73 ,19.624879811719588 ,20.75911145705042  ,40.383991268770004
  74 ,19.819292070029938 ,20.950970647501943 ,40.77026271753188
  75 ,19.995362465634372 ,21.125543869267986 ,41.12090633490236
  76 ,20.153681555148598 ,21.283344827884672 ,41.43702638303327
  77 ,20.294920529843406 ,21.42496949399938  ,41.71989002384279
  78 ,20.41982326711296  ,21.55108848045355  ,41.97091174756651
  79 ,20.529199239317258 ,21.66244010308882  ,42.19163934240608
  80 ,20.623917178879047 ,21.759824055034724 ,42.38374123391377
  81 ,20.7048993818087   ,21.84409560891943  ,42.54899499072813
  82 ,20.773116522576927 ,21.916160252250346 ,42.68927677482728
  83 ,20.829582851241668 ,21.97696865798024  ,42.806551509221904
  84 ,20.875351648466737 ,22.02751189461083  ,42.902863543077565
  85 ,20.911510824758892 ,22.068816787465504 ,42.9803276122244
  86 ,20.939178565884987 ,22.101941354167103 ,43.04111992005209
  87 ,20.95949894578887  ,22.127970251908575 ,43.087469197697445
  88 ,20.97363745008334  ,22.148010190725245 ,43.12164764080859
  89 ,20.982776375929543 ,22.163185284538816 ,43.14596166046836
  90 ,20.988110096478483 ,22.174632329131256 ,43.162742425609736
  91 ,20.990840198725298 ,22.183496012377894 ,43.174336211103196
  92 ,20.992170521505383 ,22.19092407610702  ,43.1830945976124
  93 ,20.993302134512902 ,22.198062460112823 ,43.191364594625725
  94 ,20.995428309003714 ,22.206050466595066 ,43.20147877559878
  95 ,20.99972953588353  ,22.216015987329094 ,43.215745523212625
