step,Epot,Ekin,Etot
35,-0.10673428322645817,0.19746343377037273,0.09072915054391456
36,-0.11456942541894456,0.18965978955635476,0.0750903641374102
37,-0.1210928394474032,0.18316442207909508,0.06207158263169188
38,-0.12627942175464169,0.17800131454652485,0.05172189279188316
39,-0.1301091080017945,0.17418962764548984,0.04408051964369533
40,-0.13256702325635017,0.17174356172682553,0.039176538470475364
41,-0.13364359397142994,0.17067225409862224,0.0370286601271923
42,-0.1333346203407792,0.1709797126837464,0.0376450923429672
43,-0.13164130811026298,0.1726647868569968,0.041023478746733816
44,-0.1285702594405168,0.17572117582131458,0.04715091638079777
45,-0.1241334229373796,0.18013747441975234,0.05600405148237274
46,-0.1183480034859115,0.1858972558191354,0.06754925233322391
47,-0.11123633303146394,0.19297919005116543,0.08174285701970149
48,-0.10282570393613487,0.20135719696548562,0.09853149302935076
49,-0.09314816699352431,0.21100063174481135,0.11785246475128704
50,-0.08224029659939744,0.22187450076178608,0.13963420416238864
51,-0.07014292594427896,0.23393970522702945,0.1637967792827505
52,-0.05690085540992725,0.2471533097931529,0.19025245438322563
53,-0.042562537610238385,0.2614688330444336,0.2189062954341952
54,-0.027179742715443038,0.27683655661926526,0.24965681390382222
55,-0.010807207834504177,0.29320384958408807,0.2823966417495839
56,0.006497725695599459,0.31051550460365,0.3170132302992495
57,-0.004819039980728202,0.3113894473078449,0.3065704073271167
58,-0.02034488223576734,0.2958644377574942,0.27551955552172686
59,-0.034870904611133346,0.2813483103700236,0.24647740575889027
60,-0.048345382615829435,0.26789080100356777,0.21954541838773833
61,-0.0607196712172436,0.2555386314597953,0.1948189602425517
62,-0.07194853514452743,0.24433520396880634,0.17238666882427892
63,-0.0819904617460228,0.23432031224902136,0.15232985050299858
64,-0.09080795285471668,0.22552987231686628,0.1347219194621496
65,-0.09836779227968417,0.21799567606882408,0.11962788378913991
66,-0.10464128576334164,0.2117451704555458,0.10710388469220417
67,-0.10960447052208157,0.20680126481642486,0.09719679429434329
68,-0.1132382918175437,0.20318216864672128,0.08994387682917758
69,-0.11552874438201352,0.20090126173248488,0.08537251735047136
70,-0.11646697693848428,0.1999669982166693,0.08350002127818502
71,-0.11604935850570654,0.20038284575936777,0.08433348725366123
72,-0.11427750565349547,0.20214726053317647,0.087869754879681
73,-0.11115827036427886,0.2052536983590149,0.09409542799473605
74,-0.1067036886540896,0.2096906618463686,0.10298697319227898
75,-0.1009308906007334,0.21544178296309097,0.11451089236235756
76,-0.09386197290885932,0.2224859400317596,0.12862396712290025
77,-0.08552383560207524,0.23079740773999563,0.1452735721379204
78,-0.07594798486282736,0.24034603836851098,0.16439805350568362
79,-0.06517030443359455,0.25109747208965627,0.1859271676560617
80,-0.05323079834097225,0.2630133738767705,0.20978257553579824
81,-0.040173308002662195,0.27605169429559084,0.23587838629292865
82,-0.02604520702088253,0.2901669512271773,0.26412174420629475
83,-0.010897077152267853,0.3053105293999345,0.2944134522476667
84,0.005217630928407237,0.3214309944878775,0.3266486254162847
85,0.022242948385069836,0.3384744184636218,0.36071736684869166
86,0.04012074680223419,0.3563847128769131,0.3965054596791473
87,0.036690029832510226,0.3579617014062764,0.39465173123878666
88,0.022006236631786955,0.3432524686362263,0.3652587052680133
89,0.008264400373337501,0.3294952634464162,0.3377596638197537
90,-0.004487655558548707,0.31673616329642273,0.31224850773787405
91,-0.01620495157308498,0.30501845760899193,0.28881350603590694
92,-0.026845649541904788,0.29438237187817085,0.2675367223362661
93,-0.03637133471067246,0.2848648067692042,0.24849347205853178
94,-0.044747278741488594,0.27649909500216285,0.23175181626067426
95,-0.05194268091872734,0.2693147786767365,0.21737209775800914
96,-0.05793088474537946,0.2633374095177424,0.20540652477236296
97,-0.0626895673986734,0.258588374301598,0.19589880690292458
98,-0.06620089980014499,0.2550847474661548,0.1888838476660098
99,-0.06845167538140941,0.25283917261372024,0.18438749723231085
100,-0.06943340598784366,0.2518597742944387,0.18242636830659503
101,-0.06914238375175191,0.2521501011098743,0.18300771735812238
102,-0.06757970817754963,0.2537091008106574,0.18612939263310777
103,-0.06475127810651933,0.25653112768391356,0.19177984957739425
104,-0.06066774865973677,0.2606059821426977,0.19993823348296091
105,-0.05534445368730457,0.2659189820477532,0.21057452836044865
