step,Epot,Ekin,Etot
58,7594.188343407411,670.9937296088841,8265.182073016294
59,7367.677667479592,796.8401074527744,8164.517774932367
60,7250.4693708926025,870.4495064265889,8120.918877319191
61,7311.204440936575,841.5791075932516,8152.783548529827
62,7408.358528692079,784.2835841262224,8192.642112818301
63,7458.011659653582,754.0946309620431,8212.106290615626
64,7413.840027050212,783.808533892684,8197.648560942896
65,7231.819637814394,886.2628845321299,8118.082522346524
66,7086.209707202811,962.7417555130623,8048.951462715873
67,7215.573511526995,881.9184519320523,8097.491963459048
68,7540.911471583211,707.8851936892195,8248.79666527243
69,7540.248399237678,695.8840616751601,8236.132460912839
70,7350.67947929437,792.0658965728456,8142.745375867215
71,7345.030127666521,799.8754999513757,8144.905627617897
72,7452.556070479878,738.9137559345454,8191.469826414424
73,7545.2144455019225,678.7488659370072,8223.963311438929
74,7632.420358850985,620.7999081395926,8253.220266990578
75,7718.558667054342,568.7850146541102,8287.343681708451
76,7692.827492857669,583.8988200986544,8276.726312956323
77,7516.558697467259,682.6341644954509,8199.19286196271
78,7379.641104894937,763.0295573009944,8142.670662195931
79,7402.420551761495,758.8373199645766,8161.257871726071
80,7455.243214853899,724.0552678897218,8179.298482743621
81,7552.893921028079,652.9869675477607,8205.880888575839
82,7794.712128145987,513.9640345559528,8308.67616270194
83,7918.972509660549,456.2193220994939,8375.191831760043
84,7633.960409625331,620.4014582727506,8254.361867898082
85,7303.1051010160045,798.7541452264194,8101.859246242424
86,7509.6282889442555,682.5156720012907,8192.143960945546
87,7968.296653827483,442.79036886356454,8411.087022691048
88,7893.765867370258,457.2763537330955,8351.042221103353
89,7744.456842627565,549.7629635913705,8294.219806218935
90,7637.321524116268,625.5906296648208,8262.912153781088
91,7475.57773473046,706.6906278999788,8182.268362630439
92,7580.111303587102,647.5565681816528,8227.667871768756
93,7828.8710405177035,505.52475441245815,8334.395794930162
94,7933.374560071071,435.1249436929463,8368.499503764016
95,7926.703653115289,430.8712515837716,8357.57490469906
96,7900.638005856052,454.49075774906754,8355.128763605118
97,7732.38105861764,552.8541889924514,8285.235247610091
98,7583.219052678787,631.8628423979444,8215.081895076732
99,7780.2287956641,521.9160440229341,8302.144839687035
100,8120.584001613768,353.66952326386894,8474.253524877637
101,7950.063190978753,438.6546357107152,8388.717826689468
102,7609.401331149007,631.2244532218051,8240.625784370812
103,7510.298507140962,696.0862091490812,8206.384716290044
104,7588.6320617900365,656.0903713939249,8244.72243318396
105,7653.866580420416,619.8817332003946,8273.74831362081
106,7608.621103879021,648.5869751375516,8257.208079016573
107,7473.536154550534,727.3559352010086,8200.892089751542
108,7400.428475450376,763.6005175979432,8164.0289930483195
109,7578.130072194283,664.7596111028543,8242.889683297137
110,7757.000612799001,588.8124962239066,8345.813109022907
111,7417.762735283922,769.0326365548782,8186.7953718388
112,7093.587609260791,951.496067354304,8045.083676615095
113,7208.149551470804,888.5093154387366,8096.658866909541
114,7561.950072176443,677.4951386202548,8239.445210796699
115,7853.339628324478,489.0377084291566,8342.377336753634
116,8050.408180094662,362.7911748013594,8413.199354896022
117,8119.579036638987,328.7907192146878,8448.369755853675
118,7927.3605991734,439.4323309196409,8366.792930093041
119,7708.296838642939,562.397867986569,8270.694706629509
120,7766.568501471972,539.7226020460918,8306.291103518064
121,7887.938958493261,479.6321409786168,8367.571099471877
